,pertanyaan,jawaban,skor
0,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching memberikan nilai awal sedangkan non iterative searching tidak memberikan nilai awal pada pencarian,0.55
1,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian yang dilakukan secara berulang dant erus menerus hingga sampai pada solusi ditemukan dan dievaluasi non iterative searchin adalah pencarian yang dilakukan secar atidak berulang atau non iterative,0.8
2,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasanya digunakan untuk percarian masalah yang bukan berupa path sedangkan non iteratif searching biasanya digunakan untuk pencarian masalah yang berupa path,0.65
4,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching tidak dapat digunakan untuk menyelesaikan suatu permasalahan yang mencari sebuah path iterative search digunakan untuk mencari goal state yang berbentuk state memenuhi goal test yang ditentukan dengan bantuan fungsi heuristic sedangkan untuk non iterative searching merupakan sebaliknya,0.82
5,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching digunakan untuk pencarian secara iteratif atau menghasilkan berupa pathrangkaian sementara noniterative searching digunakan untuk pencarian yang tidak menghasilkan path,0.6
6,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian berulang biasanya akan dapat menemukan lebih banyak kesamaan jarak jauh dengan urutan kueri daripada pencarian urutan tunggal,0.65
7,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative menggunakan hitungan dari awal sampe akhir sedangkan non iterative tidak,0.55
8,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching dilakukan secara rekursif dan bertahap sedangkan non iterative akan memanggil fungsinya kembali,0.62
9,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan a iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if b iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,0.7
10,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search dapat mencari masalah yang tidak memiliki path sedankan non iterative membutuhkan persoalan yang mempunyai path,0.75
11,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching digunakan untuk pencarian masalah yang bukan merupakan path lalu non iteratif searching digunakan untuk pencarian masalah karena cara kerjanya merupakan pemanggilan berulang dirinya sendiri untuk mencari pemecahan masalah terbaik,0.75
12,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaanya dalam hal tujuan penggunaan non interative searching berguna untuk masalah yang mempunyai path sedangkan iterative searching berguna untuk masalah yang tidak mempunyai path seperti puzzle catur tumpukan,0.88
14,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search adalah sebuah jenis search yang akan terus mengihitung kemungkinan sampai ditemukannya goal state dalam iterative search solusi tidak selalu berupa path karena dapat mencoba untuk mencari benefit terbanyak atau cost terendah noniterative search adalah search yang tidak diulangulang hingga menemukan solusi terbaik sehingga tidak melalui trial and error pada noniterative search dicarikan path untuk mencapai goal state,0.9
15,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching lebih efisien daripada non iteratif searching untuk kompleksitas waktu kedua algoritma memiliki kompleksitas sebesar olog n namun binary search iteratif cenderung memiliki faktor konstan yang lebih rendah binary search rekursif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar jika dibandingkan dengan binary search iteratif yang menghasilkan waktu eksekusi dan penggunaan memori yang lebih kecil,0.65
16,jelaskan perbedaan antara iterative searching dan non iterative searching,iteravtive searching melakukan prinsip iterasi loop untuk mencari suatu node yang diinginkan sedangkan non iteratif searching tidak menggunakan iterasi untuk mencari node,0.75
18,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile sedangkan non iteratif searching hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan non iteratif searching merupakan fungsi,0.75
19,jelaskan perbedaan antara iterative searching dan non iterative searching,interatif searching digunakan untuk pencarian masalah yang bukan berupa path biasnya melakukan perulangan suatu kelompok semuanya sedangkan non iteratif biasanya ditujukan unutk mencari path dari suatu node biasaya memanggil dirinya sendiri berkali2 dan kadang sulit dipahami,0.85
20,jelaskan perbedaan antara iterative searching dan non iterative searching,non iteratif searching lebih terpaku pada path dan goal state sedangkan iteratif searching lebih terpaku pada state,0.75
21,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching iterative search merupakan sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan hal ini dilakukan dengan secara menambah limit secara bertahap mulai dari 01 2 dan seterusnya sampai goal sudah ditemukan non iteratif search yang tidak dapat diberlakukan berulang ulang hingga state goal ditemukan,0.5
22,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative merupakan suatu teknik pembuatan algoritma dengan pemanggilan procedure beberapa kali atau hingga suatu kondisi tertentu terpenuhi sedangkan non iterative,0.55
23,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah proses perulangan pada saat melakukan searching sedangkan non iterative tidak melakukan proses perulangan pada saat melakukan searching,0.8
24,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif search adalah pencarian yang dilakukan secara berkalikali melalui fungsi seperti loop atau while sementara non iteratif adalah pencarian yang tidak menggunakan pengulangan fungsi pengulangan,0.8
25,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching posisi akhir belum tentu di goal state tetapi pada non iterative sudah pasti jalurnya dari initial state sampai ke goal state,0.82
26,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching merupakan metode pencarian berulang ulang sedangkan non iterative searching merupakan metode pencarian tidak berulang atau hanya sekali saja,0.78
27,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search biasa digunakan untuk percarian masalah yang bukan berupa path sedangkan non iterative untuk probelm yang berupa path,0.9
28,jelaskan perbedaan antara iterative searching dan non iterative searching,searching iteratif merupakan perulangan yang melakukan proses perulangan terhadap sekelompok intruksi perulangan dilakukan dalam batasan syarat tertentu ketika syarat tersebut tidak terpenuhi lagi maka perulangan akan terhenti non iteratif searching tidak perulangan yang melakukan proses perulangan terhadap sekelompok intruksi contohnya adalah rekursif yang memanggil fungsinya sendiri secara berulangulang,0.82
29,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching merupakan metode searching untuk sebuah permasalahan yang bukan path metode in ijuga sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan non iterartice searching merupakan algortima kebalikna dari iterative,0.82
30,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search terdapat 3 step anatara lain current state while current dan if else current non iterative searching adalah algoritma dengan menggunaka konsep tidak berulang secara iteratif jika sudah mencapai goal state maka akan lanjut ke state berikutnya dan tidak mengulang ke keadaan sebelumnya,0.82
31,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile atau bisa dibilang merupakan pengulangan sedangkan noniterative hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan noniterative merupakan fungsi,0.7
32,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search biasa digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative search biasa digunakan untuk pencarian masalah berupa path,0.9
33,jelaskan perbedaan antara iterative searching dan non iterative searching,itterative biasa digunakan untuk percarian masalah yang bukan berupa path non itterative bisanya pencarian masalah yang berupa path,0.9
34,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search digunakan untuk melakukan pencarian masalah yang bukan berbentuk seperti alur atau path contoh hillclimbing search dan simulated annealing sedangkan non iterative searching merupakan pencarian masalah yang menggunakan path,0.9
35,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching pencarian masalah yang bukan berupa path noniterative searching pencarian masalah yang merupakan path,0.9
36,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasa digunakan untuk pencarian masalah yang bukan merupakan path,0.75
38,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,0.75
39,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative depat digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative bisa,0.8
40,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search adalah strategi pencarian spasi grafik keadaan di mana versi pencarian kedalamanfirst depthlimited dijalankan berulang kali dengan meningkatkan batas kedalaman hingga tujuannya ditemukan sedangkan non iteratif searching adalah strategi pencarian spasigrafik keadaan di mana versi pencarian kedalamanfirst depthlimited dijalankan tidak berulang kali dengan meningkatkan batas kedalaman hingga tujuannya ditemukan,0.65
41,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching merupakan sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan hal ini dilakukan dengan secara menambah limit secara bertahap iteratif searching secara giliran,0.57
42,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan iterative seaching dengan non iteratif searching adalah iterative search digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative search digunakan untuk masalah yg berupa path,0.9
43,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching iteratif menggunakan for while dowhile iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi non iteratif searching hanya menggunakan if merupakan fungsi,0.7
44,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching mencari algoritma satu persatu dari semuanya non mencari point terkecil tanpa mengecek semua,0.55
45,jelaskan perbedaan antara iterative searching dan non iterative searching,kalau iterative searching biasanya untuk menemukan amsaslah yang bukan path,0.75
46,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasa digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative bisa diunkan unutk algoritma,0.78
47,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative biasa digunakan untuk hillclimb searching,0.6
48,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan antara iterative searching dan non iteratif yaitu iteratif searching biasanya untuk mengatasi halhal yang path beberbeda dengan non iteratif yan,0.72
49,jelaskan perbedaan antara iterative searching dan non iterative searching,a iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if b iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,0.75
50,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan sedangkan non iteratif searching merupakan,0.55
51,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search digunakan untuk mencari masalah yang bukan berupa path noniterative searching digunakan untuk mencari masalah yang berupa path,0.8
52,jelaskan perbedaan antara iterative searching dan non iterative searching,1 iteratif lebih efisien daripada algoritma non iteratif 2 iteratif memiliki kompleksitas ruang sebesar o1 sedangkan non iteratif dapat mencapai sebesar olog n 3 untuk kompleksitas waktu kedua algoritma memiliki kompleksitas sebesar olog n tetapi binary search iteratif cenderung memiliki faktor konstan yang lebih rendah 4 non iteratif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar dibandingkan dengan iteratif,0.7
55,jelaskan perbedaan antara iterative searching dan non iterative searching,non iteratif searching adalah suatu proses atau prosedur dari fungsi yang memanggil dirinya sendiri secara berulangulang karena proses dalam rekursif ini terjadi secara berulangulang maka harus ada kondisi yang membatasi pengulangan persebut jika tidak maka proses tidak akan pernah berhenti sampai memori yang digunakan untuk menampung proses tersebut tidak dapat menampung lagi penuh berbeda dengan non iteratif searching fungi iteratif merupakan perulangan yang melakukan proses perulangan terhadap sekelompok intruksi perulangan dilakukan dalam batasan syarat tertentu ketika syarat tersebut tidak terpenuhi lagi maka perulangan akan terhenti dalam prosesnya rekursif non iteratif searching memanggil dirinya sendiri sedangkan iteratif hanya mengulang berdasarkan kondisi tertentu fungsi iteratif lebih efisien daripada fungsi rekursif fungsi iteratif memiliki kompleksitas ruang sebesar o1 sedangkan fungsi rekursif dapat mencapai sebesar olog n untuk kompleksitas waktu kedua algoritma fungsi memiliki kompleksitas sebesar olog n namun fungsi iteratif cenderung memiliki faktor konstan yang lebih rendah fungsi rekursif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar jika dibandingkan dengan fungsi iteratif yang menghasilkan waktu eksekusi dan penggunaan memori yang lebih kecil,0.75
56,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching biasa digunakan untuk pencarian masalah yang bukan path sedangkan non iteratif bisa digunakan untuk mencari masalah berupa path,0.9
57,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative digunakan untuk mencari masalah bukan berupa path solusinya bukan berupa path dari initial state ke goal state tpi berupa kondisi yang diberikan ke goal state non iterative biasanya dengan initial state lalu dengan successor sampai dengan goal state solusi yang diberikan path dari initial state ke goal state lalu dilakukan back tracking dan ditemukan solusi permasalahan,0.92
58,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan utama dari iterative searching dan non iterative seacrhing rekursif ada dalam segi kompleksitas ruang nya contoh dalam binary search rekursif memeiliki kompleksitas o log n sedangkan iterative searching memiliki kompleksitas o1 maka dari itu iterative searching akan menjadi lebih efisien walaupun rekursif lebih mudah di implementasikan,0.65
59,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative mencari sampai nilai n yang diberikan noniterative mencari nilai optimal dengan lebih sederhana untuk model soal sederhana,0.6
60,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah algoritma yang berguna untuk mencari jalur yang bukan path sedangkan non iteratif searching adalah algoritma untuk instruksi perulangan yang tak terhingga,0.7
61,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif search mencari nilai optimal sampai dengan nilai n dan biasanya digunakan untuk pencarian masalah yang bukan berupa path noniteratif search mencari dengan lebih sederhana untuk model yang lebih sederhana juga,0.8
62,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan iterative search akan mencari nilai optimal sampai dengan nilai n noniterative search akan mencari dengan lebih sederhana untuk model yang lebih sederhana juga,0.65
63,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan antara intterative searching dengan non iterative searching adalah iterative searching memakai perulangan dari 0 sampai n sedangkan non iterative searching menggunakan perulangan dari n sampai 0,0.4
